#0name	1country	2population	3latitude	4degrees	5N-S	6longitude	7degrees	8E-W
Bukavu	Congo (Dem. Rep.)	806940	2.51°S	2.51	S	28.84°E	28.84	E
İstanbul	Turkey	12900885	41.10°N	41.1	N	29.00°E	29	E
Bursa	Turkey	1637815	40.20°N	40.2	N	29.08°E	29.08	E
Sihlangu	South Africa	525100	27.75°S	27.75	S	29.92°E	29.92	E
Alexandria	Egypt	4532174	31.22°N	31.22	N	29.95°E	29.95	E
Kigali	Rwanda	1168570	1.94°S	1.94	S	30.06°E	30.06	E
Saint Petersburg	Russia	4459883	59.93°N	59.93	N	30.32°E	30.32	E
Pietermaritzburg	South Africa	1035116	29.61°S	29.61	S	30.39°E	30.39	E
Eskisehir	Turkey	609310	39.79°N	39.79	N	30.52°E	30.52	E
Kiev	Ukraine	2762221	50.43°N	50.43	N	30.52°E	30.52	E
Antalya	Turkey	826145	36.89°N	36.89	N	30.71°E	30.71	E
Odesa	Ukraine	979263	46.47°N	46.47	N	30.73°E	30.73	E
Durban	South Africa	3720953	29.87°S	29.87	S	30.99°E	30.99	E
Harare	Zimbabwe	1792083	17.82°S	17.82	S	31.05°E	31.05	E
Gizeh	Egypt	3628062	30.01°N	30.01	N	31.21°E	31.21	E
Cairo	Egypt	8259461	30.06°N	30.06	N	31.25°E	31.25	E
Shubra-El-Khema	Egypt	1099354	30.11°N	30.11	N	31.25°E	31.25	E
Juba	South Sudan	508908	4.86°N	4.86	N	31.60°E	31.6	E
Port Said	Egypt	625953	31.26°N	31.26	N	32.29°E	32.29	E
Matola	Mozambique	817008	25.97°S	25.97	S	32.46°E	32.46	E
Umm Durman	Sudan	2805396	15.65°N	15.65	N	32.48°E	32.48	E
Konya	Turkey	942298	37.88°N	37.88	N	32.48°E	32.48	E
Khartoum	Sudan	2682431	15.58°N	15.58	N	32.52°E	32.52	E
al-H̱artum Bah̨ri	Sudan	936349	15.64°N	15.64	N	32.52°E	32.52	E
Suez	Egypt	565716	29.98°N	29.98	N	32.54°E	32.54	E
Maputo	Mozambique	1149666	25.95°S	25.95	S	32.57°E	32.57	E
Kampala	Uganda	1604165	0.32°N	0.32	N	32.58°E	32.58	E
Luxor	Egypt	506588	25.70°N	25.7	N	32.65°E	32.65	E
